source_id,verified_at,authority_match,url_recorded,status,next_review,reviewer,result
"OR-STAT","2026-08-03","true","true","operative","before-consequential-use","human-review-required","recorded-not-perpetually-current"
"OR-RULE","2026-08-03","true","true","operative","before-consequential-use","human-review-required","recorded-not-perpetually-current"
"OR-OPS","2026-08-03","true","true","operative","before-consequential-use","human-review-required","recorded-not-perpetually-current"
"OR-FEE","2026-08-03","true","true","current-at-cutoff","before-consequential-use","human-review-required","recorded-not-perpetually-current"
"CO-STAT","2026-08-03","true","true","operative","before-consequential-use","human-review-required","recorded-not-perpetually-current"
"CO-DORA","2026-08-03","true","true","operative","before-consequential-use","human-review-required","recorded-not-perpetually-current"
"CO-RULE","2026-08-03","true","true","operative","before-consequential-use","human-review-required","recorded-not-perpetually-current"
"CO-REV","2026-08-03","true","true","operative","before-consequential-use","human-review-required","recorded-not-perpetually-current"
"NM-ACT","2026-08-03","true","true","enacted-implementation-pending","before-consequential-use","human-review-required","recorded-not-perpetually-current"
"NM-TEXT","2026-08-03","true","true","enacted-implementation-pending","before-consequential-use","human-review-required","recorded-not-perpetually-current"
"NM-FIR","2026-08-03","true","true","context-only","before-consequential-use","human-review-required","recorded-not-perpetually-current"
