route,page_type,primary_audience,current_status,recommended_action,priority
/,Company/Home,all,live,keep; homepage synthesis complete,P0
/strategy,Service,executives regulated orgs,live,revise,P1
/intelligence,Service,regulated operators/research teams,live,revise,P1
/content,Service,brands/knowledge teams,live,revise,P1
/legal-ai,Service,law firms/legal teams,live,revise high-stakes,P0
/services,Service index,buyers,live,rebuild as canonical index,P1
/build-your-team,Diagnostic,business operators,live,audit logic/privacy,P0
/ai-native-coo,Service/framework,founders/operators,live,merge decision,P1
/launch-stack,Product/service,launching orgs,live,classify and revise,P2
/builds,Proof,buyers/partners,live,rebuild taxonomy,P1
/methods,Proof,institutional buyers,live,expand,P1
/engagements,Proof,buyers/funders,live,status taxonomy,P1
/partners,Company/Partnership,funders/licensees,live,revise,P1
/about,Company,all,live,revise,P1
/practice,Legacy,all,live,merge/redirect decision,P0
/memo,Legacy/Insight,institutional buyers,live,date/classify/archive decision,P0
/assessment,Diagnostic legacy,prospects,live,consolidate,P0
/privacy,Legal,all,live,audit against actual data flows,P0
/terms,Legal,all,live,legal review/update,P0
/ce,Education,professionals/institutions,live,verify accreditation claims,P0
/tools,Tool index,all,live,rebuild canonical index,P1
/stacks,Product index,buyers,live,audit relationship to Trust Stack,P2
/trust-stack,Product,regulated orgs,live,full product audit,P0
/trust-stack/leak-check,Diagnostic,regulated orgs,live,validate scoring/privacy,P0
/trust-stack/regulatory-intelligence,Product/service,regulated orgs,live,clarify product vs service,P0
/trust-stack/psilocybin-map,Regulatory tool,psychedelic sector,live,primary-source legal audit,P0
/trust-stack/sb303-compliance-kit,Compliance kit,regulated buyer,live,identify jurisdiction/current law,P0
/trust-stack/ai-content-system,Product,content teams,live,differentiate from services/university,P2
/trust-stack/edsa-framework,Framework,content teams,live,evidence and claims audit,P0
/trust-stack/suppression-playbook,Product,content teams,live,evidence/policy audit,P0
/twins,Service/Product,professionals/brands,live,rights/governance audit,P0
/twins/exposure-check,Diagnostic,AI twin users,live,legal-risk scoring audit,P0
/twins/console,Private console,operators,live/indexed,remove from sitemap; noindex/auth audit,P0
/monitors/agentic-brand-management,Diagnostic/service,brands/creators,live,human approval/claims audit,P0
/monitors/cannabis-rescheduling,Regulatory monitor,cannabis sector,live,freshness/source audit,P0
/monitors/psychedelic-radar,Regulatory monitor,psychedelic sector,live,freshness/source audit,P0
/monitors/biopharma-regulatory-intelligence,Regulatory monitor,biopharma,live,source hierarchy audit,P0
