search_id,date,layer,jurisdiction,query,source_domains,result,next_step
MS001,2026-08-07,recording,federal,"18 USC 2510 2511 2520 current official",uscode.house.gov,"Controlling federal text located and registered","Verify edition and later amendments before packet decision"
MS002,2026-08-07,labor,federal,"NLRA protected concerted activity recording monitoring official",nlrb.gov,"Statutory materials and official protected-activity guidance located","Research current Board and controlling circuit authority for actual workplace"
MS003,2026-08-07,labor,federal,"NLRB surreptitious recording collective bargaining GC 25-07",nlrb.gov,"Official 2025 General Counsel position located","Check later rescission replacement Board treatment and circuit law"
MS004,2026-08-07,accessibility,federal,"ADA effective communication meetings captions official",ada.gov,"DOJ effective-communication guidance located","Determine Title I II III or Rehabilitation Act coverage and participant need"
MS005,2026-08-07,cross_border,European Union,"GDPR processing processor DPIA international transfer official",eur-lex.europa.eu,"Official consolidated regulation located","Map territorial scope roles lawful basis special-category data and Chapter V mechanism"
MS006,2026-08-07,all,51 jurisdictions,"jurisdiction-specific authority inventory initialization",,"All 51 rows initialized as unverified and fail-closed","Research controlling state authority row by row with independent verification"
MS007,2026-08-07,recording,Hawaii,"current HRS 803-41 definitions interception oral communication",data.capitol.hawaii.gov,"Current official statutory text located and registered","Recheck amendment history and classification for actual communication"
MS008,2026-08-07,recording,Hawaii,"current HRS 803-42 participant prior consent criminal tortious purpose",data.capitol.hawaii.gov,"Current official prohibition and participant-consent text located and registered","Apply to actual participants locations purpose and device"
MS009,2026-08-07,remedies,Hawaii,"current HRS 803-48 civil damages illegal interception",data.capitol.hawaii.gov,"Current official civil-remedies text located and registered","Evaluate standing violation defenses and remedies for actual facts"
MS010,2026-08-07,recording/privacy,Hawaii,"Hawaii Judiciary 803-42 consensual participant recording current case",courts.state.hi.us,"Official 2026 summary disposition located; it applies subsection (b)(4) in law-enforcement facts and cites State v. Lee","Do not extend nonprecedential law-enforcement result to private employment or later processing"
MS011,2026-08-08,recording,California,"current California Penal Code 632 confidential communication all parties consent official",leginfo.legislature.ca.gov,"Current official statutory text located and registered","Apply confidentiality consent exclusions purpose and device facts to actual communication"
MS012,2026-08-08,recording,California,"current California Penal Code 632.7 cellular cordless all parties consent official",leginfo.legislature.ca.gov,"Current official statutory text located and registered","Verify device path exceptions notice and actual consent for each participant"
MS013,2026-08-08,remedies,California,"current California Penal Code 637.2 civil damages injunctive relief official",leginfo.legislature.ca.gov,"Current official civil-remedies text located and registered","Evaluate standing violation defenses remedy and amendment history for actual facts"
MS014,2026-08-08,recording/conflict,California,"California Supreme Court Kearney interstate call Smith LoanMe participant recording 632.7",courts.ca.gov;law.justia.com,"Official Smith opinion and published Kearney reproduction located and registered","Independently verify later history and conduct packet-specific location consent device and choice-of-law analysis"
MS015,2026-08-08,recording,Massachusetts,"current Massachusetts General Laws chapter 272 section 99 interception secretly record all parties official",malegislature.gov,"Current official statutory text located and registered","Apply secrecy actual knowledge prior authority device exceptions and conduct facts to actual meeting"
MS016,2026-08-08,recording,Massachusetts,"Massachusetts Supreme Judicial Court Curtatone Barstool actual knowledge secret recording section 99",law.justia.com,"Published Supreme Judicial Court opinion reproduction located and registered","Independently verify later history and actual-knowledge evidence for the packet"
MS017,2026-08-08,recording/constitutional,Massachusetts,"First Circuit Project Veritas Rollins Massachusetts secret recording police public official duties",ca1.uscourts.gov,"Official published First Circuit opinion located and registered","Keep the narrow police-in-public holding separate from workplace meeting and broader government-official questions"
MS018,2026-08-08,recording,New York,"current New York Penal Law 250.00 eavesdropping definitions one party official",nysenate.gov,"Current official statutory definitions located and registered","Apply communication type participant presence consent device authorization and location facts"
MS019,2026-08-08,recording,New York,"current New York Penal Law 250.05 eavesdropping class E felony official",nysenate.gov,"Current official offense text located and registered","Apply section 250.00 definitions and authorization provisions to actual conduct"
MS020,2026-08-08,records/remedies,New York,"current New York CPLR 4506 eavesdropping evidence suppression official",nysenate.gov,"Current official exclusion and civil suppression framework located and registered","Assess crime predicate forum standing timing warrant and evidence use for actual proceeding"
MS021,2026-08-08,recording/conflict,New York,"New York Appellate Division Locke Aston participant recording interstate California call",nycourts.gov,"Official published decision located and registered","Independently verify later history and perform packet-specific location consent and conflicts analysis"
MS022,2026-08-08,recording,New Jersey,"current New Jersey 2A:156A-2 definitions intercept oral communication expectation privacy",law.justia.com,"Current-code reproduction located and bounded against official judicial treatment","Recheck official Legislature text amendments and actual communication and device facts"
MS023,2026-08-08,recording,New Jersey,"current New Jersey 2A:156A-3 2A:156A-4 participant one party prior consent injurious act",law.justia.com,"Current-code reproductions located and registered","Recheck official Legislature text and apply purpose consent disclosure use and location facts"
MS024,2026-08-08,remedies,New Jersey,"current New Jersey 2A:156A-24 civil action damages attorney fees",law.justia.com,"Current-code reproduction located and registered","Assess standing violation damages causation defenses and later statutory history"
MS025,2026-08-08,recording/privacy,New Jersey,"New Jersey Courts Stark South Jersey Transportation Authority Wiretap Act expectation privacy workplace",njcourts.gov,"Official appellate decision located and registered with unpublished-status boundary","Independently verify later history and do not generalize the workplace facts"
MS026,2026-08-08,legislative_status,New Jersey,"New Jersey A6186 proposed all parties recording consent 2025 status",njleg.state.nj.us,"Official introduced bill located and registered as a reopening trigger only","Do not treat proposal as enacted; monitor amendment passage enactment effective date or successor"
MS027,2026-08-08,recording,Florida,"current Florida Statutes 934.02 oral communication intercept device definitions official",leg.state.fl.us,"Current official definitions located and registered","Apply communication device acquisition expectation public-meeting exclusion and actual facts"
MS028,2026-08-08,recording,Florida,"current Florida Statutes 934.03 all parties prior consent criminal purpose official",leg.state.fl.us,"Current official prohibition exceptions purpose and penalty text located and registered","Apply consent evidence exceptions purpose location disclosure use and later statutory history"
MS029,2026-08-08,remedies,Florida,"current Florida Statutes 934.10 civil remedies defenses limitation official",leg.state.fl.us,"Current official civil-remedy defense and limitations text located and registered","Assess violation standing accrual remedies defenses and claim-specific facts"
MS030,2026-08-08,recording/privacy,Florida,"Florida Supreme Court McDade State 154 So 3d 292 expectation interception circumstances",law.justia.com,"Published Florida Supreme Court opinion reproduction located and bounded","Verify official opinion and later history and apply circumstance-specific expectation evidence"
MS031,2026-08-08,recording,Pennsylvania,"current Pennsylvania 18 Pa.C.S. 5702 oral communication intercept definitions official",legis.state.pa.us,"Current official definitions located and registered","Apply communication type device acquisition expectation statutory exclusions and actual facts"
MS032,2026-08-08,recording,Pennsylvania,"current Pennsylvania 18 Pa.C.S. 5703 5704 all parties prior consent official",legis.state.pa.us,"Current official prohibition and exceptions located and registered","Apply intent consent evidence exceptions communication type disclosure use locations and later statutory history"
MS033,2026-08-08,remedies,Pennsylvania,"current Pennsylvania 18 Pa.C.S. 5725 civil action damages official",legis.state.pa.us,"Current official civil-remedy text located and registered","Assess violation standing good-faith defense damages accrual limitations and claim-specific facts"
MS034,2026-08-08,recording/privacy,Pennsylvania,"Pennsylvania Supreme Court Commonwealth v Mason Wiretap Act oral communication expectation interception",pacourts.us,"Official Supreme Court majority opinion located and registered","Verify later history and apply the expectation analysis to the actual meeting setting notice people and devices"
