id,jurisdiction,type,title,url,retrieved_at,status,note
"OR-STAT","Oregon","statute","ORS chapter 475A","https://www.oregonlegislature.gov/bills_laws/ors/ors475a.html","2026-08-03","operative","State authorization and licensing framework."
"OR-RULE","Oregon","rule","OAR chapter 333 division 333","https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=7102","2026-08-03","operative","Current administrative rules; live source controls over historical amendment PDFs."
"OR-OPS","Oregon","agency","Oregon Psilocybin Services","https://www.oregon.gov/oha/ph/preventionwellness/pages/oregon-psilocybin-services.aspx","2026-08-03","operative","Applications began 2023-01-02; service centers began opening in summer 2023."
"OR-FEE","Oregon","agency","OPS Service Center License Fact Sheet","https://www.oregon.gov/oha/PH/PREVENTIONWELLNESS/Documents/Service-Center-License-Fact-Sheet.pdf","2026-08-03","current-at-cutoff","Annual service-center license fee shown as $10,000; eligibility-based reduction may apply."
"CO-STAT","Colorado","statute","Colorado Natural Medicine Code","https://leg.colorado.gov/sites/default/files/images/olls/crs2025-title-12.pdf","2026-08-03","operative","Title 12 article 170 regulates facilitators and healing centers."
"CO-DORA","Colorado","agency","Colorado Natural Medicine Program","https://dpo.colorado.gov/NaturalMedicine","2026-08-03","operative","Official program and licensing source."
"CO-RULE","Colorado","rule","4 CCR 737-1 Natural Medicine Rules","https://dpo.colorado.gov/NaturalMedicine/LawsRulesPolicies","2026-08-03","operative","Current professional licensing rules and policies."
"CO-REV","Colorado","agency","Colorado Natural Medicine Division","https://dnm.colorado.gov/","2026-08-03","operative","Business licensing, rules, forms, and fees must be verified here before filing."
"NM-ACT","New Mexico","statute","Medical Psilocybin Act, Laws 2025, chaptered SB 219","https://www.nmlegis.gov/Legislation/Legislation?Chamber=S&LegNo=219&LegType=B&year=25","2026-08-03","enacted-implementation-pending","Chaptered legislation; program implementation depends on agency action and rules."
"NM-TEXT","New Mexico","statute","SB 219 final legislation record","https://www.nmlegis.gov/Sessions/25%20Regular/bills/senate/SB0219.HTML","2026-08-03","enacted-implementation-pending","Defines the medical program, qualified patients, clinicians, producers, approved settings, restrictions, and rulemaking."
"NM-FIR","New Mexico","analysis","Legislative Finance Committee fiscal impact report","https://www.nmlegis.gov/Sessions/25%20Regular/firs/SB0219.PDF","2026-08-03","context-only","Implementation-cost and agency-capacity analysis; not an operative rule or fee schedule."
